abs_id,file_name,file_name_date,file_name_player_name,file_name_pitcher_type,file_name_at_bat_number,file_name_result,is_filename_result_consistent,inning,at_bat_result,weather,game_time
34,2022-08-13 Jose Ramos VS 右投 打席2_雙殺.mp4,2022-08-13,Jose Ramos,RHP,2,雙殺,TRUE,3,5G,cloudy,day
35,2022-09-10 Jose Ramos VS 右投 打席5_中飛.mp4,2022-09-10,Jose Ramos,RHP,5,中飛,TRUE,9,8F,sunny,night
36,2022-08-10 Jose Ramos VS 右投 打席1_觸身.mp4,2022-08-10,Jose Ramos,RHP,1,觸身,TRUE,1,DB,sunny,day
37,2022-08-21 Jose Ramos VS 左投 打席4_三滾.mp4,2022-08-21,Jose Ramos,LHP,4,三滾,TRUE,7,5G,sunny,day
38,2022-08-19 Jose Ramos VS 右投 打席4_游滾.mp4,2022-08-19,Jose Ramos,RHP,4,游滾,TRUE,7,6G,sunny,night
39,2022-09-01 Jose Ramos VS 右投 打席5_三滾.mp4,2022-09-01,Jose Ramos,RHP,5,三滾,TRUE,10,5G,sunny,night
40,2022-08-23 Jose Ramos VS 左投 打席2_保送.mp4,2022-08-23,Jose Ramos,LHP,2,保送,TRUE,3,BB,sunny,day
41,2022-08-23 Jose Ramos VS 右投 打席5_中安.mp4,2022-08-23,Jose Ramos,RHP,5,中安,TRUE,8,8_1B,sunny,night
42,2022-08-20 Jose Ramos VS 右投 打席1_三振.mp4,2022-08-20,Jose Ramos,RHP,1,三振,TRUE,1,SK,cloudy,day
43,2022-08-31 Jose Ramos VS 左投 打席2_三振.mp4,2022-08-31,Jose Ramos,LHP,2,三振,TRUE,3,CK,sunny,day
44,2022-08-21 Jose Ramos VS 右投 打席5_三振.mp4,2022-08-21,Jose Ramos,RHP,5,三振,TRUE,9,SK,sunny,day
45,2022-08-26 Jose Ramos VS 右投 打席4_左全.mp4,2022-08-26,Jose Ramos,RHP,4,左全,TRUE,8,7_HR,sunny,night
46,2022-08-20 Jose Ramos VS 右投 打席3_三振.mp4,2022-08-20,Jose Ramos,RHP,3,三振,TRUE,5,CK,sunny,night
47,2022-09-01 Jose Ramos VS 右投 打席4_三振.mp4,2022-09-01,Jose Ramos,RHP,4,三振,TRUE,8,SK,sunny,night
48,2022-08-10 Jose Ramos VS 右投 打席2_左安.mp4,2022-08-10,Jose Ramos,RHP,2,左安,TRUE,4,6_1B,sunny,day
49,2022-09-10 Jose Ramos VS 左投 打席3_中飛.mp4,2022-09-10,Jose Ramos,LHP,3,中飛,TRUE,6,8F,cloudy,day
50,2022-08-13 Jose Ramos VS 左投 打席4_三振.mp4,2022-08-13,Jose Ramos,LHP,4,三振,TRUE,7,SK,sunny,night
